instructorName,instructorId
Dr. David Alberto Novelo Casanova,20707077
Oliver Laasch,4578073
Vic Strecher,47665060
Erin Loder,101230079
Amber M. Winters,20260687
Émeric FORTIN,29107748
Ralf Meisenzahl,82364205
"Philip John Currie, Ph.D ",15693810
"Michael Gold, Ph.D.",1600503
Richard van Kleef,39144801
Campus BBVA,103719571
Daniel Bernal Serrano,3574586
Ahmed Tarek,71344601
Hélène Musikas,10363408
Patricia Pórcel Vásquez,3512016
Eric Siegel,27902363
Melinda K. Munos,89229727
Abdoulaye Maïga,89232827
Dr Betty Fyn-Sydney,34290446
Amani Abbas,45723
Ksenia Anisimova,20471596
Jun Allard,15217696
Titti Mattsson ,78185636
Jerry Cooperstein,34076557
Stephanie A. Santorico,2515594
林軒田,3044885
Amancio Friaça,16124155
Carlos Guestrin,14033965
Pablo Alejandro Albani,71331056
Ola Ahmed,50589237
Kelli Sullivan,38030174
Anastasia Diakaki,87938159
"Peggy Moore, MSEd",11970335
Dr. Jacob L. Wright,1931536
Younes Bensouda Mourri,20612763
Yumiko Furuichi,86257547
Amy Radin,81737461
Stephen R. Lawrence,11591613
徐小平,16718408
Vanessa K. Tilney,61072025
Peter A.G. van Bergeijk,35715470
Alice Bonner,75597533
Bart van Hoof,45046130
Dr. Chuck Layne,3902068
Neel Mitra,74873367
Amanda  Wang,2473389
Parham Aarabi,14417702
Prof.  Oksana Mont,7001900
Arnaud Fontanet (in Partnership with UNIGE),20346094
John Steven Hutchinson,2666905
"Beth A. Resnick, MPH",6351099
Irene Anaís Pereda Aguado ,18185298
Ángela María Barrientos,19766801
Leo Porter,12264824
Dr Kirsten Howarth,8117234
Gonzalo Valdivia Cabrera,35502973
Oktay Urcan,19198012
Patricia Debeljuh,27981577
"Timothy Roberton, DrPH",92839094
Mike Nieva,35833891
Amanda C. Graham,68547432
Candice Hopkins,33055055
Julio Cesar Ferreira dos Passos,21299227
Junko TAKAGI,19068160
Claudia Bustamante Troncoso,29186506
Yesid Olave,15292777
Richard White,21251837
Rafael E. Alcaraz Rodríguez,2710028
Dr. Terry A. Matilsky,2650348
Laura Fernández,31453468
Anju M Dominic ,34834981
Hitoshi Murayama,2673437
Dr. Thomas P. Mackey,7854271
William Qualls,12891058
Yasmeen Abdelghani,39179342
Kyra Grantz,66513396
Roberto Dumas Damas,28762501
Aymeric Reyre,19884066
Javier Solana ,14297083
Lori Rosenkopf,16532472
王强,16718433
"Matthew A. Koschmann, PhD",26205080
Jia-Lin Xie,75493597
Lawrence Carin ,36385260
Sylvia Holthoff,38035526
Cameron Campbell,23993133
R. Polk Wagner,1968775
David Schwartz,26138298
Christophe Champod,36997714
劉正忠,38142153
Bernat Vivolas Jordà,13098226
Fernanda Marinho,100063747
Dr. Bruce W Jentleson,3279667
Martin Casstevens,35895784
Carme Artigas Brugal,33459258
Ronald T. Wilcox,631091
Janos Barberis,104544532
Martine Haas,14265482
Ghislain Waterlot,5210189
Leticia Almaguer Flores,36539078
Abdallah Mohamed,10356620
Hussein Makki,94157607
Lois A. Jordan,71137020
Claire McLaughlin,12746403
Franco Taroni,37028863
Sang-Yoon Chang,1911301
"Aurélie Delemarle, Ph.D",15147702
Chris Goto-Jones,17599680
Pierre-Yves Rochat,2693195
David Adamson          ,13399800
陈文,14827939
Martin Timmerman,18342117
葛季栋,9895232
Claudia Ocera,104602419
Kathryn L. Sweedler,2899804
Illysa Izenberg,993421
"Prof. Vic Murray, PhD",10476839
Akhil Cherukupally,70491051
朱士維,4374566
